emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
✍🏻,U+270D U+1F3FB,43759,U+270D U+1F3FB,✍🏻,writing hand: light skin tone,1.0,People & Body,hand-prop,fully-qualified
🫴,U+1FAF4,43615,U+1FAF4,🫴,palm up hand,14.0,People & Body,hand-fingers-open,fully-qualified
6️⃣,U+0036 U+FE0F U+20E3,43549,U+0036 U+FE0F U+20E3,6️⃣,keycap: 6,0.6,Symbols,keycap,fully-qualified
⛽,U+26FD,43542,U+26FD,⛽,fuel pump,0.6,Travel & Places,transport-ground,fully-qualified
🧰,U+1F9F0,43494,U+1F9F0,🧰,toolbox,11.0,Objects,tool,fully-qualified
🔺,U+1F53A,43483,U+1F53A,🔺,red triangle pointed up,0.6,Symbols,geometric,fully-qualified
🔻,U+1F53B,43371,U+1F53B,🔻,red triangle pointed down,0.6,Symbols,geometric,fully-qualified
😙,U+1F619,43297,U+1F619,😙,kissing face with smiling eyes,1.0,Smileys & Emotion,face-affection,fully-qualified
🌋,U+1F30B,43208,U+1F30B,🌋,volcano,0.6,Travel & Places,place-geographic,fully-qualified
🚑,U+1F691,43176,U+1F691,🚑,ambulance,0.6,Travel & Places,transport-ground,fully-qualified
🧧,U+1F9E7,43149,U+1F9E7,🧧,red envelope,11.0,Activities,event,fully-qualified
🧙,U+1F9D9,43126,U+1F9D9,🧙,mage,5.0,People & Body,person-fantasy,fully-qualified
💮,U+1F4AE,43036,U+1F4AE,💮,white flower,0.6,Animals & Nature,plant-flower,fully-qualified
🌇,U+1F307,42960,U+1F307,🌇,sunset,0.6,Travel & Places,place-other,fully-qualified
⛩️,U+26E9 U+FE0F,42755,U+26E9 U+FE0F,⛩️,shinto shrine,0.7,Travel & Places,place-religious,fully-qualified
🎻,U+1F3BB,42617,U+1F3BB,🎻,violin,0.6,Objects,musical-instrument,fully-qualified
🤲,U+1F932,42612,U+1F932,🤲,palms up together,5.0,People & Body,hands,fully-qualified
👜,U+1F45C,42537,U+1F45C,👜,handbag,0.6,Objects,clothing,fully-qualified
📬,U+1F4EC,42529,U+1F4EC,📬,open mailbox with raised flag,0.7,Objects,mail,fully-qualified
🧒,U+1F9D2,42365,U+1F9D2,🧒,child,5.0,People & Body,person,fully-qualified
🫥,U+1FAE5,42363,U+1FAE5,🫥,dotted line face,14.0,Smileys & Emotion,face-neutral-skeptical,fully-qualified
🇻🇪,U+1F1FB U+1F1EA,42197,U+1F1FB U+1F1EA,🇻🇪,flag: Venezuela,2.0,Flags,country-flag,fully-qualified
🔰,U+1F530,42154,U+1F530,🔰,Japanese symbol for beginner,0.6,Symbols,other-symbol,fully-qualified
🦦,U+1F9A6,42066,U+1F9A6,🦦,otter,12.0,Animals & Nature,animal-mammal,fully-qualified
👼,U+1F47C,42047,U+1F47C,👼,baby angel,0.6,People & Body,person-fantasy,fully-qualified
🇭🇷,U+1F1ED U+1F1F7,41768,U+1F1ED U+1F1F7,🇭🇷,flag: Croatia,2.0,Flags,country-flag,fully-qualified
🟧,U+1F7E7,41767,U+1F7E7,🟧,orange square,12.0,Symbols,geometric,fully-qualified
