emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
✉️,U+2709 U+FE0F,12310,U+2709 U+FE0F,✉️,envelope,0.6,Objects,mail,fully-qualified
🤨,U+1F928,12291,U+1F928,🤨,face with raised eyebrow,5.0,Smileys & Emotion,face-neutral-skeptical,fully-qualified
🎈,U+1F388,12285,U+1F388,🎈,balloon,0.6,Activities,event,fully-qualified
🫩,U+1FAE9,12269,U+1FAE9,🫩,face with bags under eyes,16.0,Smileys & Emotion,face-sleepy,fully-qualified
💼,U+1F4BC,12258,U+1F4BC,💼,briefcase,0.6,Objects,office,fully-qualified
🫧,U+1FAE7,12049,U+1FAE7,🫧,bubbles,14.0,Objects,household,fully-qualified
🤡,U+1F921,11961,U+1F921,🤡,clown face,3.0,Smileys & Emotion,face-costume,fully-qualified
🚚,U+1F69A,11929,U+1F69A,🚚,delivery truck,0.6,Travel & Places,transport-ground,fully-qualified
🎆,U+1F386,11888,U+1F386,🎆,fireworks,0.6,Activities,event,fully-qualified
🔑,U+1F511,11774,U+1F511,🔑,key,0.6,Objects,lock,fully-qualified
🩸,U+1FA78,11766,U+1FA78,🩸,drop of blood,12.0,Objects,medical,fully-qualified
🌔,U+1F314,11728,U+1F314,🌔,waxing gibbous moon,0.6,Travel & Places,sky & weather,fully-qualified
💧,U+1F4A7,11646,U+1F4A7,💧,droplet,0.6,Travel & Places,sky & weather,fully-qualified
🌻,U+1F33B,11622,U+1F33B,🌻,sunflower,0.6,Animals & Nature,plant-flower,fully-qualified
🔮,U+1F52E,11596,U+1F52E,🔮,crystal ball,0.6,Activities,game,fully-qualified
🏳️‍⚧️,U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F,11580,U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F,🏳️‍⚧️,transgender flag,13.0,Flags,flag,fully-qualified
🕺,U+1F57A,11519,U+1F57A,🕺,man dancing,3.0,People & Body,person-activity,fully-qualified
♻️,U+267B U+FE0F,11463,U+267B U+FE0F,♻️,recycling symbol,0.6,Symbols,other-symbol,fully-qualified
🍫,U+1F36B,11430,U+1F36B,🍫,chocolate bar,0.6,Food & Drink,food-sweet,fully-qualified
⌛,U+231B,11337,U+231B,⌛,hourglass done,0.6,Travel & Places,time,fully-qualified
🍀,U+1F340,11293,U+1F340,🍀,four leaf clover,0.6,Animals & Nature,plant-other,fully-qualified
🫶🏻,U+1FAF6 U+1F3FB,11240,U+1FAF6 U+1F3FB,🫶🏻,heart hands: light skin tone,14.0,People & Body,hands,fully-qualified
✌️,U+270C U+FE0F,11167,U+270C U+FE0F,✌️,victory hand,0.6,People & Body,hand-fingers-partial,fully-qualified
🍑,U+1F351,11101,U+1F351,🍑,peach,0.6,Food & Drink,food-fruit,fully-qualified
🌲,U+1F332,11051,U+1F332,🌲,evergreen tree,1.0,Animals & Nature,plant-other,fully-qualified
🌼,U+1F33C,11008,U+1F33C,🌼,blossom,0.6,Animals & Nature,plant-flower,fully-qualified
2️⃣,U+0032 U+FE0F U+20E3,10941,U+0032 U+FE0F U+20E3,2️⃣,keycap: 2,0.6,Symbols,keycap,fully-qualified
📹,U+1F4F9,10910,U+1F4F9,📹,video camera,0.6,Objects,light & video,fully-qualified
🍾,U+1F37E,10898,U+1F37E,🍾,bottle with popping cork,1.0,Food & Drink,drink,fully-qualified
🇮🇪,U+1F1EE U+1F1EA,10888,U+1F1EE U+1F1EA,🇮🇪,flag: Ireland,2.0,Flags,country-flag,fully-qualified
🌶️,U+1F336 U+FE0F,10834,U+1F336 U+FE0F,🌶️,hot pepper,0.7,Food & Drink,food-vegetable,fully-qualified
🖼️,U+1F5BC U+FE0F,10830,U+1F5BC U+FE0F,🖼️,framed picture,0.7,Activities,arts & crafts,fully-qualified
💨,U+1F4A8,10810,U+1F4A8,💨,dashing away,0.6,Smileys & Emotion,emotion,fully-qualified
😩,U+1F629,10793,U+1F629,😩,weary face,0.6,Smileys & Emotion,face-concerned,fully-qualified
😠,U+1F620,10767,U+1F620,😠,angry face,0.6,Smileys & Emotion,face-negative,fully-qualified
💐,U+1F490,10729,U+1F490,💐,bouquet,0.6,Animals & Nature,plant-flower,fully-qualified
🦇,U+1F987,10670,U+1F987,🦇,bat,3.0,Animals & Nature,animal-mammal,fully-qualified
☠️,U+2620 U+FE0F,10659,U+2620 U+FE0F,☠️,skull and crossbones,1.0,Smileys & Emotion,face-negative,fully-qualified
