emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
☠️,U+2620 U+FE0F,61902,U+2620 U+FE0F,☠️,skull and crossbones,1.0,Smileys & Emotion,face-negative,fully-qualified
🫂,U+1FAC2,61808,U+1FAC2,🫂,people hugging,13.0,People & Body,person-symbol,fully-qualified
🌙,U+1F319,61632,U+1F319,🌙,crescent moon,0.6,Travel & Places,sky & weather,fully-qualified
🍕,U+1F355,61585,U+1F355,🍕,pizza,0.6,Food & Drink,food-prepared,fully-qualified
🎅,U+1F385,61033,U+1F385,🎅,Santa Claus,0.6,People & Body,person-fantasy,fully-qualified
😌,U+1F60C,60927,U+1F60C,😌,relieved face,0.6,Smileys & Emotion,face-sleepy,fully-qualified
🐦,U+1F426,60636,U+1F426,🐦,bird,0.6,Animals & Nature,animal-bird,fully-qualified
😮‍💨,U+1F62E U+200D U+1F4A8,60418,U+1F62E U+200D U+1F4A8,😮‍💨,face exhaling,13.1,Smileys & Emotion,face-neutral-skeptical,fully-qualified
🙂‍↕️,U+1F642 U+200D U+2195 U+FE0F,60393,U+1F642 U+200D U+2195 U+FE0F,🙂‍↕️,head shaking vertically,15.1,Smileys & Emotion,face-neutral-skeptical,fully-qualified
🥶,U+1F976,59795,U+1F976,🥶,cold face,11.0,Smileys & Emotion,face-unwell,fully-qualified
📌,U+1F4CC,59742,U+1F4CC,📌,pushpin,0.6,Objects,office,fully-qualified
✍️,U+270D U+FE0F,59620,U+270D U+FE0F,✍️,writing hand,0.7,People & Body,hand-prop,fully-qualified
🍀,U+1F340,59450,U+1F340,🍀,four leaf clover,0.6,Animals & Nature,plant-other,fully-qualified
🤦,U+1F926,59440,U+1F926,🤦,person facepalming,3.0,People & Body,person-gesture,fully-qualified
🍁,U+1F341,59251,U+1F341,🍁,maple leaf,0.6,Animals & Nature,plant-other,fully-qualified
🍑,U+1F351,59178,U+1F351,🍑,peach,0.6,Food & Drink,food-fruit,fully-qualified
🔒,U+1F512,59122,U+1F512,🔒,locked,0.6,Objects,lock,fully-qualified
🌿,U+1F33F,58648,U+1F33F,🌿,herb,0.6,Animals & Nature,plant-other,fully-qualified
😃,U+1F603,58418,U+1F603,😃,grinning face with big eyes,0.6,Smileys & Emotion,face-smiling,fully-qualified
📞,U+1F4DE,58059,U+1F4DE,📞,telephone receiver,0.6,Objects,phone,fully-qualified
💌,U+1F48C,57867,U+1F48C,💌,love letter,0.6,Smileys & Emotion,heart,fully-qualified
💫,U+1F4AB,57271,U+1F4AB,💫,dizzy,0.6,Smileys & Emotion,emotion,fully-qualified
🩸,U+1FA78,57019,U+1FA78,🩸,drop of blood,12.0,Objects,medical,fully-qualified
⚽,U+26BD,56899,U+26BD,⚽,soccer ball,0.6,Activities,sport,fully-qualified
💅,U+1F485,56850,U+1F485,💅,nail polish,0.6,People & Body,hand-prop,fully-qualified
⚾,U+26BE,56843,U+26BE,⚾,baseball,0.6,Activities,sport,fully-qualified
😵‍💫,U+1F635 U+200D U+1F4AB,56496,U+1F635 U+200D U+1F4AB,😵‍💫,face with spiral eyes,13.1,Smileys & Emotion,face-unwell,fully-qualified
😜,U+1F61C,56336,U+1F61C,😜,winking face with tongue,0.6,Smileys & Emotion,face-tongue,fully-qualified
🌘,U+1F318,56211,U+1F318,🌘,waning crescent moon,1.0,Travel & Places,sky & weather,fully-qualified
🛍️,U+1F6CD U+FE0F,55857,U+1F6CD U+FE0F,🛍️,shopping bags,0.7,Objects,clothing,fully-qualified
😴,U+1F634,55788,U+1F634,😴,sleeping face,1.0,Smileys & Emotion,face-sleepy,fully-qualified
🏡,U+1F3E1,55485,U+1F3E1,🏡,house with garden,0.6,Travel & Places,place-building,fully-qualified
⬆️,U+2B06 U+FE0F,55396,U+2B06 U+FE0F,⬆️,up arrow,0.6,Symbols,arrow,fully-qualified
🪩,U+1FAA9,54879,U+1FAA9,🪩,mirror ball,14.0,Activities,game,fully-qualified
🗓️,U+1F5D3 U+FE0F,54788,U+1F5D3 U+FE0F,🗓️,spiral calendar,0.7,Objects,office,fully-qualified
📜,U+1F4DC,53754,U+1F4DC,📜,scroll,0.6,Objects,book-paper,fully-qualified
💭,U+1F4AD,53549,U+1F4AD,💭,thought balloon,1.0,Smileys & Emotion,emotion,fully-qualified
